date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2026-06-04,0.751,0.755,0.752,0.769,0.822,0.889,0.951,0.982,1.132
2026-06-05,0.75,0.755,0.753,0.794,0.846,0.912,0.964,0.988,1.136
2026-06-08,0.752,0.754,0.754,0.824,0.871,0.92,0.968,0.992,1.14
2026-06-09,0.752,0.754,0.754,0.847,0.892,0.933,0.97,0.993,1.143
2026-06-10,0.751,0.754,0.778,0.878,0.914,0.949,0.976,0.998,1.142
2026-06-11,0.751,0.753,0.804,0.898,0.93,0.953,0.978,1,1.142
2026-06-12,0.752,0.755,0.903,0.937,0.956,0.975,0.983,1.004,1.142
2026-06-15,0.751,0.755,0.949,0.968,0.975,0.987,0.993,1.009,1.142
2026-06-16,0.735,0.998,0.998,0.998,0.998,0.999,0.999,1.026,1.15
2026-06-17,0.991,0.999,1,1,1,1,1,1.028,1.151
2026-06-18,0.998,1,1,1,1,1,1.001,1.031,1.151
2026-06-19,1.001,1.002,1,1,1,1,1.002,1.036,1.153
2026-06-22,0.997,1,1,1,1,1,1.002,1.041,1.154
2026-06-23,1,1,1,1,1,1.001,1.002,1.046,1.155
2026-06-24,0.999,1,1,1,1,1.001,1.004,1.048,1.156
2026-06-25,0.999,1,1,1,1,1,1.005,1.051,1.157
2026-06-26,1,1,1,1,1,1.001,1.004,1.053,1.159
2026-06-29,1,0.998,1,1,1,1.001,1.007,1.053,1.159
2026-06-30,0.998,1,1,1,1,1.001,1.007,1.054,1.159
2026-07-01,0.999,1,1,1,1,1,1.008,1.055,1.159
2026-07-02,0.998,1,1,1,1,1.001,1.008,1.056,1.16
2026-07-03,1,1,1,1,1,1.001,1.008,1.056,1.161
2026-07-06,1,1,1,1,1,1.002,1.008,1.057,1.162
2026-07-07,1,1,1,1,1,1.001,1.008,1.057,1.162
2026-07-08,1,1,1,1,1,1.002,1.008,1.057,1.162
2026-07-09,1,1,1,1,1,1.001,1.008,1.057,1.163
2026-07-10,1,1,1,1,1,1.001,1.008,1.057,1.163
2026-07-13,1,1,1,1,1,1.001,1.008,1.057,1.163
2026-07-14,1,1,1,1,1,1.001,1.008,1.058,1.163
2026-07-15,1,1,1,1,1,1,1.009,1.058,1.163
2026-07-16,1,1,1,1,1,1.001,1.009,1.058,1.163
2026-07-17,1,1,1,1,1,1,1.009,1.058,1.165
2026-07-21,1,1,1,1,1,1,1.009,1.059,1.168
2026-07-22,1,1,1,1,1,1,1.009,1.06,1.169
2026-07-23,0.994,1,1,1,1,1,1.013,1.068,1.185
2026-07-24,0.999,1,1,1,1,1,1.016,1.078,1.203
2026-07-27,0.994,1,1,1,1,1,1.02,1.081,1.21
2026-07-28,0.998,0.999,1,1,1,1,1.022,1.082,1.215
2026-07-29,0.998,0.998,1,1,1,1.001,1.025,1.084,1.217
2026-07-30,0.999,0.997,1,1,1,1.002,1.026,1.085,1.219
2026-07-31,1,1,1,1,1,1.002,1.029,1.087,1.227
2026-08-03,1,1,1,1,1,1.002,1.034,1.092,1.237
2026-08-04,1,1,1,1,1,1.002,1.051,1.105,1.247
2026-08-05,1,1,1,1,1,1.002,1.064,1.123,1.253
2026-08-06,1,1,1,1,1,1.002,1.073,1.139,1.26
2026-08-07,1,1,1,1,1,1.001,1.081,1.154,1.264
2026-08-10,0.999,1,1,1,1,1.002,1.091,1.169,1.269
